"","player","ROI","salary","gp","PVWS","position","Z_val"
"219","Jarred Vanderbilt",0.0467695280563938,4374000,78,5.74187697783972,"PF",0.230319845288573
"224","Rudy Gay",-0.0213280315108851,6184500,56,1.26025327209168,"PF",-0.730764687353665
"231","Dorian Finney-Smith",0.0173823631245915,12939848,66,2.884225460347,"PF",-0.184431429994024
"242","Torrey Craig",0.118215118021652,5121951,79,4.08852057341181,"PF",1.2386562948976
"247","Dario Saric",0.0110321039493255,9240000,57,1.91741613509487,"PF",-0.274054845435041
"250","Jerami Grant",-0.00905779316234445,20955000,63,3.87245963275878,"PF",-0.557590547728806
"257","Harrison Barnes",-0.008652002205502,18352273,82,5.05596152264764,"PF",-0.551863478879561
"264","Trey Lyles",0.0308402284000109,2625000,74,3.15354872421146,"PF",0.00550410133452477
"267","Giannis Antetokounmpo",0.00930873596329107,42492492,63,7.90477947120748,"PF",-0.29837733695975
"271","Bobby Portis",0.0743475752651495,10843350,70,6.279017681665,"PF",0.619538413196669
"277","Marcus Morris Sr.",0.00332731213719906,16372093,65,2.55368050425816,"PF",-0.382795250890355
"281","Nicolas Batum",0.00261538860416932,19700319,78,3.40313147153948,"PF",-0.392842875215906
"282","Robert Covington",-0.000341937425064165,12307692,48,1.90626661155507,"PF",-0.434580645596187
"292","Isaiah Livers",0.0158066508889618,1563518,51,1.48658953636456,"PF",-0.206670004579985
"298","Derrick Jones Jr.",0.0264544978806136,3200000,63,1.7958149159577,"PF",-0.0563932382076561
"307","Chimezie Metu",0.0213479655747539,1910860,66,2.22292500684142,"PF",-0.128463503952655
"313","Chris Boucher",-0.00111649650297452,12690000,76,4.33884021538748,"PF",-0.445512267142211
"325","Trendon Watford",0.0513867571324844,1563518,61,2.56216622659086,"PF",0.295484404443038
"330","Davis Bertans",-0.0232859824315248,1.6e+07,45,0.825920706842672,"PF",-0.75839792938843
"3","Joel Embiid",0.0222115742143454,33616770,66,8.88834969979711,"C",-0.24916161808789
"6","Montrezl Harrell",0.0324505722227542,2463490,57,1.78031726058761,"C",0.00196432017851456
"13","Al Horford",0.0159534757607835,26500000,63,4.87650727253251,"C",-0.402650352495653
"21","Anthony Davis",0.0251494029855182,37980720,56,7.994227402301,"C",-0.177107203581616
"27","Wenyen Gabriel",0.07006405369187,1878720,68,2.68239892709667,"C",0.924488264185577
"29","Kevon Looney",0.0899254195504586,8e+06,81,7.46739405670391,"C",1.41161641211511
"33","James Wiseman",0.00602143037793756,9603360,45,2.27352352884575,"C",-0.646247842564832
"40","Wendell Carter Jr.",-0.00566258109137197,14150000,57,4.91342977506225,"C",-0.932814784030795
"45","Mo Bamba",-0.00776255183843744,10300000,49,2.21664996845167,"C",-0.984319542968703
"49","Isaiah Stewart",0.0277938434809157,3433320,49,3.31344096450972,"C",-0.112248552368773
"52","Jalen Duren",0.0255639068112594,4124280,66,5.43668391808503,"C",-0.166940909763726
"58","Kristaps Porzingis",-0.0206485603297291,33833400,65,6.58600034270685,"C",-1.30036716503357
"65","Daniel Gafford",0.0693080600502174,1930681,78,5.10880276320328,"C",0.905946448626327
"67","Jalen Smith",0.0219607733686473,4670160,68,3.45257201624037,"C",-0.255312864297941
"70","Isaiah Jackson",0.0209532055487978,2573760,63,2.83615343427747,"C",-0.280024893142848
"81","Alperen Sengun",0.0479140657610775,3375360,75,6.52446283849062,"C",0.381228416186617
"86","Clint Capela",0.013457110768277,18206896,65,7.38843199055815,"C",-0.463877242127213
"91","Onyeka Okongwu",0.0379817670221316,6395160,80,6.08441362277996,"C",0.137624712199996
