"","player","GP","PVWL","WLpg","position","Z_val"
"166","Thaddeus Young",54,2.68438322910766,0.0497108005390308,"PF",0.0913567507382053
"167","Juancho Hernangomez",42,1.63309321379441,0.0388831717570099,"PF",-0.516786249540046
"169","Julius Randle",77,5.70383633211584,0.074075796520985,"PF",1.83802916512019
"176","Obi Toppin",67,2.87613621574049,0.042927406205082,"PF",0.202280696466404
"179","Santi Aldama",77,3.94535817948204,0.0512384179153511,"PF",0.820796846645418
"183","Brandon Clarke",56,4.6282000033114,0.0826464286305608,"PF",1.21580247726137
"185","David Roddy",70,1.97096315437009,0.0281566164910013,"PF",-0.321337575651233
"187","Jake LaRavia",35,1.14129431755097,0.0326084090728849,"PF",-0.801278684489981
"189","Kenrich Williams",53,3.28027934450361,0.0618920631038418,"PF",0.436066627358758
"190","Aleksej Pokusevski",34,1.6241888966735,0.0477702616668675,"PF",-0.52193715752021
"191","Josh Giddey",76,3.36751804701772,0.0443094479870753,"PF",0.486531870550004
"194","Jeremiah Robinson-Earl",43,2.01836893765391,0.0469388125035794,"PF",-0.293914604961098
"197","Ousmane Dieng",39,1.41256460681824,0.0362196053030317,"PF",-0.644356117740225
"202","Karl-Anthony Towns",28,2.06234382647106,0.0736551366596807,"PF",-0.268476314448853
"206","Kyle Anderson",68,4.07456899117251,0.0599201322231252,"PF",0.895541826189832
"209","Taurean Prince",53,1.54248331220097,0.029103458720773,"PF",-0.56920164073306
"213","P.J. Washington",73,2.48904419497749,0.0340964958216094,"PF",-0.0216416270234105
"221","JT Thor",69,2.33703434031465,0.0338700629031109,"PF",-0.10957523976582
"228","Jeremy Sochan",55,1.56279582599549,0.0284144695635543,"PF",-0.557451397791287
"236","Keita Bates-Diop",64,3.11006006403639,0.0485946885005687,"PF",0.337599351516045
"238","Isaiah Roby",41,1.53043060267799,0.0373275756750729,"PF",-0.576173809044394
"241","Aaron Gordon",68,5.14679711872791,0.0756881929224693,"PF",1.51579696128686
"248","Jeff Green",56,2.12085448213418,0.0378724014666817,"PF",-0.234629473743709
"253","Vlatko Cancar",60,2.485353922914,0.0414225653819001,"PF",-0.0237763501653021
"254","Zeke Nnaji",53,2.36208267160597,0.0445675975774711,"PF",-0.0950854537680673
"255","Lauri Markkanen",66,6.43176255764627,0.0974509478431252,"PF",2.2591149096123
"257","Jarred Vanderbilt",78,5.65073797650325,0.0724453586731186,"PF",1.80731319443492
"262","Rudy Gay",56,2.10663525231489,0.0376184866484802,"PF",-0.242854915779671
"270","Dorian Finney-Smith",66,2.18171054971063,0.0330562204501611,"PF",-0.199425875324623
"276","Maxi Kleber",37,1.49538455594326,0.0404157988092772,"PF",-0.596447004545829
"279","Cameron Johnson",41,2.46443099776887,0.0601080731163139,"PF",-0.0358796996568949
"283","Torrey Craig",79,3.89635459307104,0.0493209442160891,"PF",0.792449589817814
"288","Dario Saric",57,2.87758987810386,0.0504840329491905,"PF",0.203121601048558
"291","Jerami Grant",63,3.36638161278424,0.053434628774353,"PF",0.485874473909397
"295","Justise Winslow",29,1.12761929375794,0.0388834239226876,"PF",-0.809189317975728
"299","Harrison Barnes",82,4.63842539558045,0.0565661633607372,"PF",1.2217175916855
"300","KZ Okpala",35,1.26712575360717,0.0362035929602049,"PF",-0.728488582864466
"307","Trey Lyles",74,4.07269793580157,0.0550364585919131,"PF",0.894459470978235
"310","Giannis Antetokounmpo",63,8.09566658489685,0.128502644204712,"PF",3.22163864004621
