"","player","GP","PVWS","WSpg","position","Z_val"
"364","AJ Green",35,0.657615980267329,0.018789028007638,"SG",-0.686427357644694
"369","Vince Williams Jr.",15,0.075035016971272,0.00500233446475147,"SG",-1.08699728668674
"371","Theo Pinson",40,0.68128354597827,0.0170320886494567,"SG",-0.670154057082672
"372","Jaden Hardy",48,1.08770568434999,0.0226605350906247,"SG",-0.390707083382054
"375","Aaron Wiggins",70,2.4281522359465,0.03468788908495,"SG",0.530954649297665
"376","Lindy Waters III",41,0.995699222713318,0.0242853468954468,"SG",-0.453968714178735
"382","Tyrese Martin",16,0.127349904207155,0.00795936901294718,"SG",-1.05102671437459
"384","Trent Forrest",23,0.340325960997284,0.0147967809129254,"SG",-0.904589035612468
"386","Wendell Moore Jr.",28,0.267217850585457,0.00954349466376631,"SG",-0.954856573422799
"389","Landry Shamet",40,0.931287375962089,0.0232821843990522,"SG",-0.498256891287424
"390","Duane Washington Jr.",31,0.170126362470837,0.00548794717647863,"SG",-1.02161455721379
"394","Shake Milton",76,2.4194559722859,0.0318349470037618,"SG",0.524975288596024
"395","Furkan Korkmaz",37,0.488048005724583,0.0131904866412049,"SG",-0.80301858840874
"396","Jaden Springer",16,0.216060940653026,0.0135038087908141,"SG",-0.9900309458666
"402","Keon Johnson",40,0.330471720033233,0.00826179300083083,"SG",-0.911364596182454
"405","Johnny Davis",28,0.355928887031328,0.0127117459654046,"SG",-0.893860804914808
"410","Ty Jerome",45,1.43076868260998,0.031794859613555,"SG",-0.154824468727996
"415","Dru Smith",15,0.300844927924399,0.0200563285282933,"SG",-0.931735330484577
"417","David Duke Jr.",23,0.211291726166926,0.00918659678986635,"SG",-0.993310153442273
"427","Blake Wesley",34,0.117390392579154,0.00345265860526923,"SG",-1.05787465675079
"430","Garrett Temple",25,0.299792221284897,0.0119916888513959,"SG",-0.932459148546709
"431","Dereon Seabron",5,0.0156029260340437,0.00312058520680874,"SG",-1.12786149260733
"432","Seth Curry",61,1.646829623263,0.0269972069387377,"SG",-0.00626569128960939
"436","Malaki Branham",63,1.62242516290441,0.0257527803635621,"SG",-0.0230456644951241
"440","Quentin Grimes",71,3.13773525684952,0.0441934543218242,"SG",1.01884841555538
"449","Frank Ntilikina",47,0.470866019731286,0.0100184259517295,"SG",-0.814832546199597
"450","JD Davison",12,0.127770986862956,0.0106475822385796,"SG",-1.05073718714974
"451","Alec Burks",50,2.20041541843393,0.0440083083686785,"SG",0.374367794287588
