"","player","ROI","salary","gp","PVGS","position","Z_val"
"26","Juan Toscano-Anderson",0.00950920022457802,2133278,52,0.533208871426598,"SF",-0.35342746008801
"30","Klay Thompson",0.00611944810985965,40600080,68,5.32374996231148,"SF",-0.430346344952765
"39","Franz Wagner",0.0238536801828138,5258280,80,6.05419470198141,"SF",-0.0279283188494819
"43","Caleb Houstan",-0.00888748263407946,2e+06,51,0.53427380488999,"SF",-0.77087755166087
"47","Saddiq Bey",0.034015487559069,2959080,76,4.31847128955067,"SF",0.202659306776036
"53","Kevin Knox II",-0.00440954194505505,3e+06,62,1.24900100193101,"SF",-0.66926593150885
"55","Hamidou Diallo",-0.00847506200507075,5200000,55,1.96251828034386,"SF",-0.761519069445952
"56","Deni Avdija",0.00433282817941394,4916160,76,3.10893426261242,"SF",-0.470887602270764
"66","Buddy Hield",-0.0117490226944243,21177750,80,5.68857647282763,"SF",-0.835810462088697
"68","Chris Duarte",-0.00865080207747015,3936960,46,1.13357825104531,"SF",-0.765506892135499
"74","Aaron Nesmith",0.0178894353028611,3804360,73,2.67398656216422,"SF",-0.163266552944631
"79","KJ Martin",0.0500019319858804,1782621,82,4.74183295156255,"SF",0.565417242060889
"84","De'Andre Hunter",0.00989062742973923,9835881,67,3.55666116462134,"SF",-0.344772268119639
"89","Jalen Johnson",0.0301020049481837,2792640,70,1.83086506818531,"SF",0.113856141181753
"92","Justin Holiday",-0.0110170183734712,5987975,46,0.51742162879926,"SF",-0.819200115910457
"93","Brandon Ingram",-0.000276489523132639,31650600,45,4.54688019856194,"SF",-0.575480376511635
"98","Trey Murphy III",0.14418544357991,3206520,79,5.13402157280651,"SF",2.70259141860427
"101","Naji Marshall",0.203425317938381,1782621,77,2.87231528971061,"SF",4.04683870305809
"104","Royce O'Neale",0.0289989334235772,9200000,76,3.03161499775859,"SF",0.088825688001891
"111","Yuta Watanabe",0.0971243647973068,1968175,58,1.3527568440461,"SF",1.6347004407441
"112","DeMar DeRozan",0.0018534739952798,27300000,73,7.93469344295559,"SF",-0.527148105273417
"121","Caleb Martin",0.0178000626444201,6479000,71,3.07470023628324,"SF",-0.165294561185951
"125","Max Strus",0.0752254609413714,1815677,80,3.38458225501266,"SF",1.13777936588286
"127","Duncan Robinson",-0.02863229473485,16902000,42,0.687708001137414,"SF",-1.21891884708803
