"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","PF","PTS","STL","BLK","TO","OREB","DREB","AST","BLKA","PFD","POSS","SCREEN_ASSISTS","DEFLECTIONS","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","OFF_BOXOUTS","DEF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","D_FGM","D_FGA","DRIVES","DIST_MILES_OFF","DIST_MILES_DEF","TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","FT_AST","OREB_CONTEST","OREB_CHANCES","DREB_CONTEST","DREB_CHANCES"
"91",22200004,1610612764,"WAS",1630264,"Anthony Gill",15.45,1,3,0,1,0,0,3,2,0,1,0,0,2,0,0,0,35,1,0,0,4,1,0,0,0,0,6,8,1,0.6,0.6,14,11,9,0,1,0,0,0,0,4
"92",22200004,1610612764,"WAS",203115,"Will Barton",25.1166666666667,4,10,2,3,4,4,1,14,0,0,2,1,1,3,2,3,56,0,2,0,0,2,0,0,0,0,3,6,6,1.1,0.8,38,23,30,0,4,0,0,2,0,4
"93",22200004,1610612764,"WAS",1629655,"Daniel Gafford",15.9833333333333,6,8,0,0,0,0,0,12,1,1,2,4,3,0,0,0,36,3,1,0,5,3,0,0,0,1,5,11,0,0.6,0.6,28,17,12,0,0,0,3,6,0,7
"99",22200004,1610612754,"IND",1627741,"Buddy Hield",31.55,6,16,4,11,0,0,2,16,0,0,1,4,6,3,1,0,68,0,1,0,2,1,1,0,1,0,6,11,6,1.3,1.2,55,36,37,0,10,2,1,10,0,11
"100",22200004,1610612754,"IND",1630678,"Terry Taylor",24.05,2,6,1,3,3,4,1,8,2,1,1,1,1,1,0,2,52,1,1,0,3,3,1,1,1,0,3,9,4,1.1,0.9,26,17,15,0,1,0,0,5,0,4
"101",22200004,1610612754,"IND",1630188,"Jalen Smith",22.05,6,14,1,6,3,5,2,16,0,1,0,1,7,1,1,5,49,3,0,0,10,5,0,1,0,0,6,16,0,0.9,0.8,44,28,24,0,1,1,0,2,2,12
"102",22200004,1610612754,"IND",1630537,"Chris Duarte",19.4166666666667,1,3,1,2,2,2,0,5,1,0,1,0,1,0,1,1,44,1,0,0,3,4,0,1,0,0,8,16,2,0.8,0.8,21,15,16,0,2,0,0,1,0,4
"103",22200004,1610612754,"IND",1630169,"Tyrese Haliburton",35.6666666666667,10,18,3,6,3,3,1,26,0,0,3,2,2,7,2,2,78,0,2,0,1,3,0,0,1,0,7,14,14,1.4,1.3,89,65,72,0,21,2,0,5,0,4
"104",22200004,1610612754,"IND",1630543,"Isaiah Jackson",15.85,1,3,0,0,1,2,0,3,0,1,1,1,2,0,1,1,38,1,1,0,7,4,0,0,0,0,9,12,1,0.6,0.5,25,19,16,0,1,0,1,3,1,4
"105",22200004,1610612754,"IND",1631097,"Bennedict Mathurin",27.8333333333333,7,15,3,7,2,5,3,19,2,0,3,2,5,2,1,3,62,0,5,0,1,0,1,1,0,0,6,11,7,1,1.1,38,17,23,0,5,0,1,5,2,7
"106",22200004,1610612754,"IND",204456,"T.J. McConnell",16.6333333333333,4,9,0,0,0,0,3,8,1,1,2,0,1,4,1,3,37,0,1,1,3,1,0,0,0,1,2,8,16,0.8,0.7,53,40,44,0,11,1,0,1,0,2
"107",22200004,1610612754,"IND",1629052,"Oshae Brissett",14.35,1,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,32,0,0,0,5,0,0,0,0,0,1,6,1,0.6,0.5,19,14,14,0,1,0,0,0,0,0
"108",22200004,1610612754,"IND",1630174,"Aaron Nesmith",22.5,1,8,1,5,0,0,4,3,0,0,0,0,4,1,2,1,49,0,0,0,2,0,0,1,0,1,4,5,5,0.9,0.9,35,26,20,1,1,0,0,0,1,11
"109",22200004,1610612754,"IND",1629048,"Goga Bitadze",10.1,0,1,0,0,0,0,3,0,1,1,2,1,1,2,0,1,20,2,1,0,4,0,0,0,0,0,3,6,0,0.4,0.4,17,15,11,0,5,0,1,2,0,1
"114",22200005,1610612745,"HOU",201569,"Eric Gordon",29.3166666666667,4,9,1,4,2,2,2,11,0,0,1,0,1,4,1,3,64,0,0,0,3,0,0,0,2,0,3,6,10,1,0.8,45,31,41,0,6,0,0,1,0,2
