"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","FG2O","FG2X","FG3O","FG3X","FTMO","FTMX","PF","PTS","STL","AORB","ADRB","AST","BLK","TOV","BLKA","PFD","SAST","DEFL","CHGD","AC2P","C3P","OBOX","DBOX","OLBR","DLBR","DFGO","DFGX","DRV","ODIS","DDIS","APM","AST2","FAST","OCRB","AORC","DCRB","ADRC"
"21142",22201005,1610612762,"UTA",1627739,"Kris Dunn",3,3,0,2,1,0,1,7,1,0,1,5,1,2,2,2,1,2,0,2,3,0,1,1,0,4,7,7,0.7,0.6,32,0,0,1,0,1,0
"21143",22201005,1610612762,"UTA",1630548,"Johnny Juzang",0,1,1,1,0,0,3,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0.5,0.4,2,0,0,0,0,0,0
"21144",22201005,1610612762,"UTA",1629308,"Juan Toscano-Anderson",1,1,0,0,0,0,1,2,0,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,3,1,0.3,0.3,8,0,0,0,1,0,0
"21145",22201005,1610612766,"CHA",202330,"Gordon Hayward",3,2,1,4,2,0,0,11,1,0,3,4,0,3,0,1,1,3,0,4,1,0,0,0,0,4,11,9,1.4,1.2,27,1,0,0,0,0,0
"21146",22201005,1610612766,"CHA",1629023,"P.J. Washington",3,5,4,4,0,0,1,18,0,0,3,2,2,2,1,0,1,1,0,3,6,0,0,1,2,11,9,5,1.2,1.1,34,0,0,0,5,4,4
"21147",22201005,1610612766,"CHA",1630208,"Nick Richards",4,3,0,0,1,0,3,9,0,1,3,2,5,0,0,1,7,0,0,4,1,0,2,0,0,8,2,0,1.2,1.2,22,0,0,1,8,3,6
"21148",22201005,1610612766,"CHA",1626162,"Kelly Oubre Jr.",1,7,6,6,4,0,3,24,0,1,2,1,1,0,1,4,1,2,0,1,1,0,0,0,0,3,17,8,1.4,1.3,26,0,0,0,2,2,5
"21149",22201005,1610612766,"CHA",1626179,"Terry Rozier",8,7,2,6,0,0,4,22,2,0,4,8,1,0,0,3,0,1,0,2,1,0,0,0,0,8,5,21,1.5,1.1,56,1,0,1,2,1,4
"21150",22201005,1610612766,"CHA",1630550,"JT Thor",0,0,1,1,0,0,0,3,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,2,1,0.5,0.4,19,0,0,2,1,1,0
"21151",22201005,1610612766,"CHA",1628372,"Dennis Smith Jr.",2,6,2,1,3,1,3,13,0,1,2,5,2,1,0,3,0,2,0,2,0,0,0,0,0,5,4,12,1,0.8,34,0,0,0,0,0,4
"21152",22201005,1610612766,"CHA",1631121,"Bryce McGowens",0,1,0,1,2,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,1,0.5,0.4,7,0,0,0,0,0,3
"21153",22201005,1610612766,"CHA",1630539,"Kai Jones",2,3,0,0,2,0,0,6,1,0,1,0,3,1,1,2,2,2,0,6,0,0,0,0,0,5,4,1,0.7,0.6,12,0,0,3,3,1,5
"21154",22201005,1610612766,"CHA",1629004,"Svi Mykhailiuk",0,1,1,0,0,0,1,3,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,2,0.4,0.3,5,0,1,0,0,0,1
"21155",22201006,1610612754,"IND",1627741,"Buddy Hield",4,3,3,5,0,0,2,17,2,1,5,2,0,3,2,0,0,1,0,2,2,0,0,2,0,4,9,8,1.2,1,26,1,0,1,3,1,2
"21156",22201006,1610612754,"IND",1630174,"Aaron Nesmith",1,1,0,3,4,2,2,6,0,0,3,2,0,0,0,3,0,0,0,2,3,0,0,0,0,6,4,4,0.8,0.7,13,0,0,0,2,0,2
"21157",22201006,1610612754,"IND",1630543,"Isaiah Jackson",7,3,0,0,5,2,4,19,2,1,2,1,2,0,0,4,3,2,0,7,2,0,4,1,0,9,7,1,1.1,0.9,32,0,0,5,6,3,7
"21158",22201006,1610612754,"IND",1630537,"Chris Duarte",1,4,1,5,1,0,4,6,1,1,4,0,0,3,1,1,1,2,0,1,2,0,0,0,0,7,5,5,1.5,1.2,33,0,0,1,2,0,2
