name,22.23_salary
Malik Fitts,"$555,217 "
Luka Samanic,"$538,317 "
David Duke,"$531,283 "
Trevor Keels,"$520,589 "
Dereon Seabron,"$511,816 "
Cole Swider,"$508,891 "
Vince Williams Jr,"$508,891 "
EJ Liddell,"$508,891 "
Kevon Harris,"$508,891 "
Micah Potter,"$508,891 "
Trent Forrest,"$508,891 "
JD Davison,"$508,891 "
Mfiondu Kabengele,"$508,891 "
Malcolm Hill,"$508,891 "
Mamadi Diakite,"$508,891 "
Isaiah Mobley,"$508,891 "
McKinley Wright,"$508,891 "
Collin Gillespie,"$508,891 "
Jack White,"$508,891 "
Buddy Boeheim,"$508,891 "
Darius Days,"$508,891 "
Trevor Hudgins,"$508,891 "
Kendall Brown,"$508,891 "
Moussa Diabate,"$508,891 "
Scottie Pippen Jr,"$508,891 "
Jamal Cain,"$508,891 "
AJ Green,"$508,891 "
Luka Garza,"$508,891 "
Keon Ellis,"$508,891 "
Neemias Queta,"$508,891 "
Dominick Barlow,"$508,891 "
Julian Champagnie,"$508,891 "
Jeff Dowtin,"$508,891 "
Ron Harper Jr,"$508,891 "
Johnny Juzang,"$508,891 "
John Butler,"$503,041 "
Chima Moneke,"$500,000 "
Facundo Campazzo,"$464,299 "
Orlando Robinson,"$386,055 "
Dru Smith,"$374,357 "
AJ Lawson,"$371,432 "
Jared Rhoden,"$307,089 "
Louis King,"$307,089 "
Robert Woodard,"$300,000 "
Didi Louzada,"$268,032 "
Jarrett Culver,"$260,295 "
Olivier Sarr,"$257,371 "
Alondes Williams,"$254,446 "
DJ Wilson,"$250,000 "
Donovan Williams,"$239,822 "
Quenton Jackson,"$219,630 "
Chris Silva,"$211,045 "
Tyler Dorsey,"$201,802 "
Braxton Key,"$201,802 "
Jordan Hall,"$193,027 "
Alize Johnson,"$192,293 "
Kostas Antetokounmpo,"$172,555 "
Devon Dotson,"$169,630 "
Mac McClung,"$160,856 "
Willie Cauley-Stein,"$155,738 "
Nate Darling,"$152,082 "
Xavier Cooks,"$140,384 "
Keaton Wallace,"$140,384 "
Shaquille Harrison,"$134,862 "
Feron Hunt,"$131,610 "
Lester Quinones,"$129,405 "
Troy Williams,"$122,741 "
Xavier Moon,"$116,986 "
Jamaree Bouyea,"$116,986 "
Jay Huff,"$116,986 "
Skylar Mays,"$116,574 "
Frank Jackson,"$113,114 "
Michael Foster,"$106,288 "
Deonte Burton,"$105,522 "
Jarrell Brantley,"$105,522 "
Xavier Sneed,"$102,910 "
